OriginalName,NewName
ARSENIC,arsenic
ATRAZINE,Atrazine
BARIUM,barium
BENZENE,benzene
"1,2,4-TRIMETHYLBENZENE","Benzene, 1,2,4-trimethyl-"
CHLOROBENZENE,"Benzene, chloro-"
ETHYLBENZENE,"Benzene, ethyl-"
HEXACHLOROBENZENE,"Benzene, hexachloro-"
PENTACHLOROBENZENE,"Benzene, pentachloro-"
"BENZO(G,H,I)PERYLENE","Benzo(g,h,i)perylene"
BENZYL CHLORIDE,Benzyl chloride
BERYLLIUM,beryllium
BIPHENYL,biphenyl
BIS(2-CHLOROETHYL) ETHER,Bis(2-chloroethyl)ether
"4,4'-ISOPROPYLIDENEDIPHENOL",Bisphenol A
BROMINE,bromine
DICHLOROBROMOMETHANE,BROMODICHLOROMETHANE
BROMOFORM,Bromoform
"1,3-BUTADIENE",Butadiene
N-BUTYL ALCOHOL,Butanol
BUTYL ACRYLATE,BUTYL ACRYLATE
BUTYRALDEHYDE,Butyraldehyde
CADMIUM,Cadmium
CARBARYL,Carbaryl
CARBON DISULFIDE,Carbon disulfide
CARBONYL SULFIDE,Carbon disulfide
CATECHOL,CATECHOL
CHLORINE,chlorine
FLUORINE,CHLORINE
CHLOROFORM,Chloroform
CHLOROPRENE,CHLOROPRENE
CHLOROTHALONIL,Chlorothalonil
CHROMIUM,chromium
COBALT,cobalt
COPPER,copper
CREOSOTE,Creosol
CRESOL (MIXED ISOMERS),Cresol
O-CRESOL,"Cresol, o-"
P-CRESOL,"Cresol, p-"
CROTONALDEHYDE,Crotonaldehyde
CUMENE,Cumene
CUMENE HYDROPEROXIDE,Cumene hydroperoxide
HYDROGEN CYANIDE,Cyanide
CYCLOHEXANE,Cyclohexane
CYCLOHEXANOL,Cyclohexanol
DECABROMODIPHENYL OXIDE,Decabromodiphenyl oxide
DIAMINOTOLUENE (MIXED ISOMERS),DIAMINOTOLUENES
DIAZINON,Diazinon
DIBENZOFURAN,dibenzofuran
DICYCLOPENTADIENE,dicyclopentadiene
DIETHANOLAMINE,DIETHANOLAMINE
DIMETHOATE,Dimethoate
"N,N-DIMETHYLFORMAMIDE",dimethyl formamide
DIMETHYLAMINE,Dimethylamine
DINITROBUTYL PHENOL,Dinoseb
DIOXIN AND DIOXIN-LIKE COMPOUNDS,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
DIPHENYLAMINE,DIPHENYLAMINE
DIURON,Diuron
DAZOMET,DMTT (DAZOMET)
EPICHLOROHYDRIN,Epichlorohydrin
"1,1,1-TRICHLOROETHANE","Ethane, 1,1,1-trichloro-, HCFC-140"
"1,1,2-TRICHLOROETHANE","Ethane, 1,1,2-trichloro-"
FREON 113,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113"
"1,1-DICHLORO-1-FLUOROETHANE","Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b"
"1,2-DICHLOROETHANE","Ethane, 1,2-dichloro-"
ETHYLENE,ETHENE
VINYL CHLORIDE,"Ethene, chloro-"
TETRACHLOROETHYLENE,"Ethene, tetrachloro-"
TRICHLOROETHYLENE,"Ethene, trichloro-"
ETHYL ACRYLATE,ETHYL ACRYLATE
ETHYLENE GLYCOL,ethylene glycol
2-ETHOXYETHANOL,Ethylene glycol monoethyl ether
CERTAIN GLYCOL ETHERS,Ethylene glycol monoethyl ether
ETHYLENE OXIDE,Ethylene oxide
ETHYLENE THIOUREA,ETHYLENETHIOUREA
FORMALDEHYDE,formaldehyde
FORMIC ACID,Formic acid
"1,2-DICHLORO-1,1-DIFLUOROETHANE",HCFC-132b
"1-CHLORO-1,1-DIFLUOROETHANE",HCFC-142b
"HEXACHLORO-1,3-BUTADIENE","hexachloro-1,3-butadiene"
HEXACHLOROCYCLOPENTADIENE,Hexachlorocyclopentadiene
N-HEXANE,Hexane
HEXAZINONE,hexazinone
HYDRAZINE,Hydrazine
HYDROGEN FLUORIDE,HYDROFLUORIC ACID
HYDROGEN SULFIDE,HYDROGEN SULFIDE
HYDROQUINONE,HYDROQUINONE
ISOBUTYRALDEHYDE,isobutyraldehyde
ISOPRENE,Isoprene
LEAD,lead
MALATHION,Malathion
MALEIC ANHYDRIDE,MALEIC ANHYDRIDE
MANGANESE,manganese
M-CRESOL,M-CRESOL
M-DINITROBENZENE,M-DINITROBENZENE
MERCURY,mercury
PARALDEHYDE,Metaldehyde (tetramer)
BROMOMETHANE,"Methane, bromo-, Halon 1001"
DICHLOROMETHANE,"Methane, dichloro-, HCC-30"
DICHLORODIFLUOROMETHANE,"Methane, dichlorodifluoro-, CFC-12"
CHLOROMETHANE,"Methane, monochloro-, R-40"
CARBON TETRACHLORIDE,"Methane, tetrachloro-, R-10"
TRICHLOROFLUOROMETHANE,"Methane, trichlorofluoro-, CFC-11"
METHANOL,methanol
METHYL ACRYLATE,Methyl acrylate
METHYL IODIDE,METHYL BROMIDE
METHYL METHACRYLATE,Methyl methacrylate
METRIBUZIN,Metribuzin
MOLYBDENUM TRIOXIDE,MOLYBDENUM(VI)
CHLOROETHANE,Monochloroethane
M-XYLENE,m-xylene
NAPHTHALENE,naphthalene
NICKEL,nickel
NICOTINE AND SALTS,NICOTINE
NITRIC ACID,nitric acid
NITROBENZENE,Nitrobenzene
NITROGLYCERIN,NITROGLYCERIN
NITROMETHANE,NITROMETHANE
SODIUM NITRITE,NITROUS ACID
N-METHYLOLACRYLAMIDE,N-Methylolacrylamide
OCTACHLOROSTYRENE,OCTACHLORONAPHTHALENE
O-TOLUIDINE,O-TOLUIDINE
GLYCIDOL,OXIRANEMETHANOL
OXYFLUORFEN,Oxyfluorfen
O-XYLENE,o-xylene
P-CRESIDINE,p-Cresidine
PENDIMETHALIN,Pendimethalin
PERACETIC ACID,PERACETIC ACID
PHENANTHRENE,phenanthrene
PHENOL,phenol
"2,4-DICHLOROPHENOL","Phenol, 2,4-dichloro"
"2,4-DIMETHYLPHENOL","Phenol, 2,4-dimethyl-"
PENTACHLOROPHENOL,"Phenol, pentachloro-"
PHOSPHORUS (YELLOW OR WHITE),PHOSPHORUS
DIBUTYL PHTHALATE,"Phthalate, dibutyl-"
DIMETHYL PHTHALATE,"Phthalate, dimethyl-"
DI(2-ETHYLHEXYL) PHTHALATE,"Phthalate, dioctyl-"
PHTHALIC ANHYDRIDE,PHTHALIC ANHYDRIDE
PICLORAM,Picloram
POLYCHLORINATED BIPHENYLS,Polychlorinated biphenyls
P-PHENYLENEDIAMINE,P-PHENYLENEDIAMINE
PROPIONALDEHYDE,Propanal
"1,2-DICHLOROPROPANE","Propane, 1,2-dichloro-"
PROPYLENE,Propene
"1,3-DICHLOROPROPYLENE","Propene, 1,3-dichloro-"
PROPYLENE OXIDE,Propylene oxide
P-XYLENE,p-xylene
PYRIDINE,PYRIDINE
QUINOLINE,QUINOLINE
SEC-BUTYL ALCOHOL,SEC-BUTYL ALCOHOL
SELENIUM,selenium
SILVER,silver
SIMAZINE,Simazine
LITHIUM CARBONATE,Sodium formate
STYRENE,Styrene
METHYL TERT-BUTYL ETHER,t-Butyl methyl ether
TERT-BUTYL ALCOHOL,TERT-BUTYL ALCOHOL
THIODICARB,Thiodicarb
THIRAM,Thiram
TOLUENE,toluene
"2,4-DINITROTOLUENE","Toluene, 2,4-dinitro-"
"TOLUENE-2,4-DIISOCYANATE","toluene-2,4-diisocyante"
TRIETHYLAMINE,Triethyl amine
VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY),vanadium
VINYL ACETATE,Vinyl acetate
XYLENE (MIXED ISOMERS),Xylene
ANTIMONY COMPOUNDS,ANTIMONY COMPOUNDS
ARSENIC COMPOUNDS,ARSENIC COMPOUNDS
BARIUM COMPOUNDS,BARIUM COMPOUNDS
BERYLLIUM COMPOUNDS,BERYLLIUM COMPOUNDS
CADMIUM COMPOUNDS,CADMIUM COMPOUNDS
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
COBALT COMPOUNDS,COBALT COMPOUNDS
COPPER COMPOUNDS,COPPER COMPOUNDS
CYANIDE COMPOUNDS,CYANIDE COMPOUNDS
LEAD COMPOUNDS,LEAD COMPOUNDS
MANGANESE COMPOUNDS,MANGANESE COMPOUNDS
MERCURY COMPOUNDS,MERCURY COMPOUNDS
NICKEL COMPOUNDS,NICKEL COMPOUNDS
NITRATE COMPOUNDS,NITRATE COMPOUNDS
SELENIUM COMPOUNDS,SELENIUM COMPOUNDS
SILVER COMPOUNDS,SILVER COMPOUNDS
THALLIUM COMPOUNDS,THALLIUM COMPOUNDS
VANADIUM COMPOUNDS,VANADIUM COMPOUNDS
ZINC COMPOUNDS,ZINC COMPOUNDS
