OriginalName,NewName
CERTAIN GLYCOL ETHERS,Ethylene glycol monoethyl ether
FORMALDEHYDE,Formaldehyde
FORMIC ACID,Formic acid
N-HEXANE,Hexane
"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",HYDROCHLORIC ACID
HYDROGEN FLUORIDE,HYDROFLUORIC ACID
HYDROGEN SULFIDE,HYDROGEN SULFIDE
HYDROQUINONE,HYDROQUINONE
ISOBUTYRALDEHYDE,isobutyraldehyde
LEAD,lead
MALEIC ANHYDRIDE,MALEIC ANHYDRIDE
MANGANESE,manganese
MERCURY,mercury
DICHLOROMETHANE,"Methane, dichloro-, HCC-30"
CHLOROMETHANE,"Methane, monochloro-, R-40"
CARBON TETRACHLORIDE,"Methane, tetrachloro-, R-10"
METHANOL,methanol
METHOXYCHLOR,Methoxychlor
METHYL ACRYLATE,Methyl acrylate
BROMINE,METHYL BROMIDE
METHYL METHACRYLATE,Methyl methacrylate
MOLYBDENUM TRIOXIDE,MOLYBDENUM(VI)
"1-(3-CHLOROALLYL)-3,5,7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE",N-(3-CHLORALLYL) HEXAMINIUM CHLORIDE
NAPHTHALENE,Naphthalene
NICKEL,nickel
NICOTINE AND SALTS,NICOTINE
SODIUM NITRITE,NITRATE
NITRIC ACID,NITRIC ACID
NITROBENZENE,Nitrobenzene
NITROGLYCERIN,NITROGLYCERIN
O-XYLENE,o-xylene
PARAQUAT DICHLORIDE,PARAQUAT DICHLORIDE
PENDIMETHALIN,Pendimethalin
PERACETIC ACID,PERACETIC ACID
PHENANTHRENE,Phenanthrene
PHENOL,Phenol
"2,4-DICHLOROPHENOL","Phenol, 2,4-dichloro"
PHOSPHORUS (YELLOW OR WHITE),Phosphorus
DIBUTYL PHTHALATE,"Phthalate, dibutyl-"
DIMETHYL PHTHALATE,"Phthalate, dimethyl-"
DI(2-ETHYLHEXYL) PHTHALATE,"Phthalate, dioctyl-"
PHTHALIC ANHYDRIDE,PHTHALIC ANHYDRIDE
POLYCHLORINATED BIPHENYLS,Polychlorinated biphenyls
PROPANIL,Propanil
PROPARGYL ALCOHOL,propargyl alcohol
PROPYLENE,Propene
"1,3-DICHLOROPROPYLENE","Propene, 1,3-dichloro-"
PROPYLENE OXIDE,Propylene oxide
PYRIDINE,PYRIDINE
QUINOLINE,QUINOLINE
SEC-BUTYL ALCOHOL,SEC-BUTYL ALCOHOL
SELENIUM,SELENIUM(IV)
SILVER,silver
SODIUM DIMETHYLDITHIOCARBAMATE,sodium dimethyldithiocarbamate
STYRENE,styrene
"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",Sulfuric acid
TERT-BUTYL ALCOHOL,TERT-BUTYL ALCOHOL
THIABENDAZOLE,Thiabendazole
THIRAM,Thiram
TOLUENE,toluene
TOXAPHENE,TOXAPHENE (EXAMPLE ISOMER SHOWN BELOW)
TRIETHYLAMINE,Triethyl amine
VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY),vanadium
VINYL ACETATE,Vinyl acetate
XYLENE (MIXED ISOMERS),Xylene
ZINC (FUME OR DUST),Zinc
ANTIMONY COMPOUNDS,ANTIMONY COMPOUNDS
ARSENIC COMPOUNDS,ARSENIC COMPOUNDS
BARIUM COMPOUNDS,BARIUM COMPOUNDS
BERYLLIUM COMPOUNDS,BERYLLIUM COMPOUNDS
CADMIUM COMPOUNDS,CADMIUM COMPOUNDS
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
COBALT COMPOUNDS,COBALT COMPOUNDS
COPPER COMPOUNDS,COPPER COMPOUNDS
CYANIDE COMPOUNDS,CYANIDE COMPOUNDS
LEAD COMPOUNDS,LEAD COMPOUNDS
MANGANESE COMPOUNDS,MANGANESE COMPOUNDS
MERCURY COMPOUNDS,MERCURY COMPOUNDS
NICKEL COMPOUNDS,NICKEL COMPOUNDS
NITRATE COMPOUNDS,NITRATE COMPOUNDS
SELENIUM COMPOUNDS,SELENIUM COMPOUNDS
SILVER COMPOUNDS,SILVER COMPOUNDS
THALLIUM COMPOUNDS,THALLIUM COMPOUNDS
VANADIUM COMPOUNDS,VANADIUM COMPOUNDS
ZINC COMPOUNDS,ZINC COMPOUNDS
